དགར་བ་<br />གར་		быть белым	weiß sein<br />euphonische Variante zu དཀར་ (5), vgl. རྒྱ་གར་	05 06
རྐང་པ་<br>རྐང་		нога	Fuß, Bein	5
སྐད་ཅིག་		момент, мгновение	Moment, Augenblick	5
སྐྱེ་བ་	P སྐྱེས་	быть рожденным, быть возрожденныым;<br>рождение, возрождение; существование;<br>см. ངེས་པར་སྐྱེ་བ་	geboren werden, wiedergeboren werden;<br>Geburt, Wiedergeburt; Existenz;<br>siehe ངེས་པར་སྐྱེ་བ་	5
སྐྱོན་		ошибка, порок	Fehler, Laster	05 07
ཁ་	[1] + [2] + [3]	[1] часть<br />[2] рот<br />[3] краткая форма для ཁ་ཏོག་	[1] Teil<br />[2] Mund<br />[3] Kurzform für ཁ་ཏོག་	05 14
ཁོ་		он, она, оно [личное местоимение 3 лица]	er, sie, es [Personalpronomen der 3. Person]	05 Leech leech
ཁྱོད་		ты	du	05 Leech
ག་ལ་		где? куда? Зачем?	wo? wohin? wozu? wie könnte ... ?	05 09
གང་ན་		где? где [вопросительное и относительное]	wo? wo [interrogativ und relativ]	5
གོང་		верх;<br>предыдущий	das Obere;<br>das Frühere	5
གྲངས་		число	Zahl	05 Leech
གྲོགས་(པོ་)		друг, помощник	"<span style="" font-style: normal; font-weight: normal;"">Freund, Helfer</span>"	5
དགོན་པ་		отшельничество	Einsiedelei	05 Leech
དགྲ་		враг	Feind	5
བགད་པ་		смеяться<br />побочная форма к དགོད་པ་	lachen, lächeln<br />Nebenform zu དགོད་པ་	05 Leech leech
རྒ་བ་		быть старым;<br>старик	alt (sein);<br>Alter	05 Leech leech
རྒྱལ་བ་		кого-либо (ལས་) победить, превзойти, быть победоносным;<br>победа;<br>см. ང་རྒྱལ་	jemanden (ལས་) besiegen, übertreffen, siegreich sein;<br>Sieg;<br>siehe ང་རྒྱལ་	5
ལྔ་		пять	fünf	5
སྔ་		нечто первое	das Frühere, das Erste	05 10
ཅེས་<br />ཞེས་		так<br />ཞེས་ = благозвучный вариант к ཅེས་ после конечных ག, ད, བ	so<br />ཞེས་ = euphonische Variante zu ཅེས་ nach allen Auslauten außer ག, ད, བ	05 07 Leech
གཅིག་		один;<br>единственный	eins;<br>einer;<br>einzig	5
བཅོས་པ་		искусственно изготовить	künstlich herstellen	05 Leech
ཆང་		пиво, вино, алкогольный напиток	Bier, Wein, alkoholisches Getränk	5
ཆུང་བ་<br>ཆུང་		быть маленьким	klein, gering (sein)	5
འཆེ་བ་	P བཅེས་, འཆེས་ F བཅེ་ I ཆེས་	решать, судить см. ཞལ་ཆེ་	versichern, versprechen;<br />entscheiden - siehe ཞལ་ཆེ་	05 Leech leech
མཇུག་མ་<br />མཇུག་		задняя часть, зад, круп	das Hintere, Hinterteil, Schwanz	05 13 Leech leech
འཇོག་པ་	[1] P བཞོགས་ F གཞོག་ I ཞོག<br />[2] P བཞག་ F གཞག་ I ཞོག་	[1] тесать, рубить [skr. <i>takṣ</i>]<br />[2] помещать, ставить, ложить (ཏུ་)	[1] schneiden, hauen, behauen (Holz) [skr. <i>takṣ</i>]<br />[2] setzen, stellen, legen auf (ཏུ་)	05 Leech
གཉིས་		два	zwei	5
གཏུམ་པ་		свирепствовать;<br />свирепость	hitzig, wild (sein);<br />Wildheit	05 leech
རྟ་		конь, лошадь;<br>см. так же ཆུ་རྟ་	Pferd;<br>siehe auch ཆུ་རྟ་	5
ལྟ་བ་	P བལྟས་ F བལྟ་ I ལྟོས་	смотреть, видеть;<br />рассматривать как, видеть как (ལ་)	sehen, erblicken;<br />ansehen als, betrachten als (ལ་)	05 07 11 Leech
སྟག་		тигр;<br>см. так же མེ་སྟག་	Tiger;<br>siehe auch མེ་སྟག་	5
ཐག་		промежуток;<br>см. མ་ཐག་པ་	Entfernung, Abstand;<br>siehe མ་ཐག་པ་	05 Leech leech
ཐོག་		верх	das Obere	05 Leech leech
ཐོས་པ་		слышать;<br />услышать от (Akk.);<br />(от учителя) услышанное;<br />образование, знание<br />см. རྗེས་སུ་ཐོས་པ་, མིག་གིས་ཐོས་པ་	hören, vernehmen;<br />hören von (Akk.);<br />das (vom Lehrer) Gehörte;<br />Bildung, Wissen<br />siehe རྗེས་སུ་ཐོས་པ་, མིག་གིས་ཐོས་པ་	05 Leech
མཐོང་བ་		видеть	sehen	5
དང་པོ་		первый	der erste	5
དུས་		время	Zeit	05 10
དེ་		тот	jener, der	05 06
དོན་		смысл, цель;<br>польза;<br>дело [skr. <i>artha</i>-]	Sinn, Zweck, Ziel;<br>Nutzen, Interesse;<br>Sache [skr. <i>artha</i>-]	05 Leech
དྲོ་བ་		быть теплым	warm (sein)	05 Leech leech
བདག་		я;<br>сам [краткая форма བདག་པོ་]	ich;<br>selbst [Kurzform für བདག་པོ་]	5
བདག་པོ་		собственник, хозяин;<br>повелитель;<br>см. ཁྱིམ་བདག་, རྟ་བདག་, ནོར་བདག་	Eigentümer, Herr;<br>Gebieter;<br>siehe ཁྱིམ་བདག་, རྟ་བདག་, ནོར་བདག་	5
